Participant,Age,Gender,Ethnicity,phase,trial_num,image,identity,expression,correct_valence,correct_key,correct_answer,response_key,response,correct,rt
1,1,1,1,practice,1,CFD-BF-010-003-HO.jpg,BF-010,HO,positive,h,happy,h,happy,True,4.021962499944493
1,1,1,1,practice,2,CFD-BM-034-040-A.jpg,BM-034,A,negative,f,angry,f,angry,True,0.8466729000210762
1,1,1,1,practice,3,CFD-BM-010-003-N.jpg,BM-010,N,neutral,g,neutral,g,neutral,True,0.46761159994639456
1,1,1,1,main,1,CFD-WM-018-007-A.jpg,WM-018,A,negative,f,angry,f,angry,True,0.8467202999163419
1,1,1,1,main,2,CFD-BM-020-024-HC.jpg,BM-020,HC,positive,h,happy,h,happy,True,1.0568245999747887
1,1,1,1,main,3,CFD-WM-018-004-HO.jpg,WM-018,HO,positive,h,happy,h,happy,True,0.8003206999273971
1,1,1,1,main,4,CFD-BF-031-020-A.jpg,BF-031,A,negative,f,angry,f,angry,True,0.5867017999989912
1,1,1,1,main,5,CFD-BM-036-003-N.jpg,BM-036,N,neutral,g,neutral,g,neutral,True,0.7164131000172347
1,1,1,1,main,6,CFD-BF-043-003-N.jpg,BF-043,N,neutral,g,neutral,g,neutral,True,0.6384716000175104
1,1,1,1,main,7,CFD-BF-029-038-HC.jpg,BF-029,HC,positive,h,happy,h,happy,True,0.6142687000101432
1,1,1,1,main,8,CFD-BM-033-003-N.jpg,BM-033,N,neutral,g,neutral,g,neutral,True,0.7135054999962449
1,1,1,1,main,9,CFD-WF-015-006-N.jpg,WF-015,N,neutral,g,neutral,g,neutral,True,0.5438588000833988
1,1,1,1,main,10,CFD-BF-043-004-HO.jpg,BF-043,HO,positive,h,happy,h,happy,True,0.6016013000626117
1,1,1,1,main,11,CFD-BF-043-038-A.jpg,BF-043,A,negative,f,angry,f,angry,True,1.142925399937667
1,1,1,1,main,12,CFD-WM-018-002-N.jpg,WM-018,N,neutral,g,neutral,g,neutral,True,0.733131300075911
1,1,1,1,main,13,CFD-BF-031-002-N.jpg,BF-031,N,neutral,g,neutral,g,neutral,True,1.1701145999832079
1,1,1,1,main,14,CFD-WM-033-014-A.jpg,WM-033,A,negative,f,angry,f,angry,True,0.9659936000825837
1,1,1,1,main,15,CFD-BF-029-046-A.jpg,BF-029,A,negative,f,angry,f,angry,True,0.9236791000002995
1,1,1,1,main,16,CFD-WF-006-019-A.jpg,WF-006,A,negative,f,angry,f,angry,True,0.916557400021702
1,1,1,1,main,17,CFD-BF-031-048-HC.jpg,BF-031,HC,positive,h,happy,h,happy,True,1.029794399975799
1,1,1,1,main,18,CFD-WM-031-003-N.jpg,WM-031,N,neutral,g,neutral,g,neutral,True,1.1860451999818906
1,1,1,1,main,19,CFD-BM-033-026-HC.jpg,BM-033,HC,positive,h,happy,h,happy,True,0.7211051000049338
1,1,1,1,main,20,CFD-WM-033-025-N.jpg,WM-033,N,neutral,g,neutral,g,neutral,True,0.5157523000380024
1,1,1,1,main,21,CFD-WM-031-004-HO.jpg,WM-031,HO,positive,h,happy,h,happy,True,0.6510135000571609
1,1,1,1,main,22,CFD-WF-019-032-HC.jpg,WF-019,HC,positive,h,happy,h,happy,True,0.9657392000081018
1,1,1,1,main,23,CFD-WM-031-045-A.jpg,WM-031,A,negative,f,angry,f,angry,True,0.8428204000229016
1,1,1,1,main,24,CFD-BM-036-004-HO.jpg,BM-036,HO,positive,h,happy,h,happy,True,0.638130999985151
1,1,1,1,main,25,CFD-WF-015-014-A.jpg,WF-015,A,negative,f,angry,g,neutral,False,0.7186139000114053
1,1,1,1,main,26,CFD-WF-015-022-HO.jpg,WF-015,HO,positive,h,happy,h,happy,True,1.3819103999994695
1,1,1,1,main,27,CFD-BM-020-001-N.jpg,BM-020,N,neutral,g,neutral,g,neutral,True,0.7495541999815032
1,1,1,1,main,28,CFD-BM-020-037-A.jpg,BM-020,A,negative,f,angry,f,angry,True,2.1655914000002667
1,1,1,1,main,29,CFD-WM-033-006-HC.jpg,WM-033,HC,positive,h,happy,h,happy,True,1.1407920999918133
1,1,1,1,main,30,CFD-WF-006-006-HO.jpg,WF-006,HO,positive,h,happy,h,happy,True,0.8141338999848813
1,1,1,1,main,31,CFD-WF-006-002-N.jpg,WF-006,N,neutral,g,neutral,g,neutral,True,0.6915217000059783
1,1,1,1,main,32,CFD-BF-029-031-N.jpg,BF-029,N,neutral,g,neutral,f,angry,False,0.7335282999556512
1,1,1,1,main,33,CFD-WF-019-015-A.jpg,WF-019,A,negative,f,angry,f,angry,True,0.9738484000554308
1,1,1,1,main,34,CFD-BM-036-037-A.jpg,BM-036,A,negative,f,angry,f,angry,True,1.103651599958539
1,1,1,1,main,35,CFD-WF-019-005-N.jpg,WF-019,N,neutral,g,neutral,g,neutral,True,1.482105299946852
1,1,1,1,main,36,CFD-BM-033-032-A.jpg,BM-033,A,negative,f,angry,f,angry,True,0.9421372999204323
