identity,num_images,emotions
AF-200,1,['N']
AF-201,1,['N']
AF-202,1,['N']
AF-203,1,['N']
AF-204,1,['N']
AF-205,1,['N']
AF-206,1,['N']
AF-207,1,['N']
AF-208,1,['N']
AF-209,1,['N']
AF-210,1,['N']
AF-211,1,['N']
AF-212,1,['N']
AF-213,1,['N']
AF-214,1,['N']
AF-215,1,['N']
AF-216,1,['N']
AF-217,1,['N']
AF-218,1,['N']
AF-219,1,['N']
AF-220,1,['N']
AF-221,1,['N']
AF-222,1,['N']
AF-223,1,['N']
AF-224,1,['N']
AF-225,1,['N']
AF-226,1,['N']
AF-227,1,['N']
AF-228,1,['N']
AF-229,1,['N']
AF-230,1,['N']
AF-231,1,['N']
AF-232,1,['N']
AF-233,1,['N']
AF-234,1,['N']
AF-235,1,['N']
AF-236,1,['N']
AF-237,1,['N']
AF-238,1,['N']
AF-239,1,['N']
AF-240,1,['N']
AF-241,1,['N']
AF-242,1,['N']
AF-243,1,['N']
AF-244,1,['N']
AF-245,1,['N']
AF-246,1,['N']
AF-247,1,['N']
AF-248,1,['N']
AF-249,1,['N']
AF-250,1,['N']
AF-251,1,['N']
AF-252,1,['N']
AF-253,1,['N']
AF-254,1,['N']
AF-255,1,['N']
AF-256,1,['N']
AM-201,1,['N']
AM-202,1,['N']
AM-203,1,['N']
AM-204,1,['N']
AM-205,1,['N']
AM-206,1,['N']
AM-207,1,['N']
AM-208,1,['N']
AM-209,1,['N']
AM-210,1,['N']
AM-211,1,['N']
AM-212,1,['N']
AM-213,1,['N']
AM-214,1,['N']
AM-215,1,['N']
AM-216,1,['N']
AM-217,1,['N']
AM-218,1,['N']
AM-219,1,['N']
AM-220,1,['N']
AM-221,1,['N']
AM-223,1,['N']
AM-224,1,['N']
AM-225,1,['N']
AM-226,1,['N']
AM-227,1,['N']
AM-228,1,['N']
AM-229,1,['N']
AM-230,1,['N']
AM-231,1,['N']
AM-232,1,['N']
AM-233,1,['N']
AM-234,1,['N']
AM-235,1,['N']
AM-236,1,['N']
AM-237,1,['N']
AM-238,1,['N']
AM-239,1,['N']
AM-240,1,['N']
AM-241,1,['N']
AM-242,1,['N']
AM-243,1,['N']
AM-244,1,['N']
AM-245,1,['N']
AM-246,1,['N']
AM-247,1,['N']
AM-248,1,['N']
AM-249,1,['N']
AM-250,1,['N']
AM-251,1,['N']
AM-252,1,['N']
AM-253,1,['N']
BF-001,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-002,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-003,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-004,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-005,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-006,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-007,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-008,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-009,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-010,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-011,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-012,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-013,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-014,5,"['A', 'F', 'HC', 'HO', 'N']"
