identity,num_images,emotions
BF-001,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-002,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-003,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-004,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-005,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-006,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-007,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-008,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-009,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-010,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-011,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-012,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-013,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-014,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-015,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-016,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-017,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-018,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-019,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-020,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-021,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-023,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-024,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-025,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-027,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-028,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-029,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-031,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-032,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-033,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-034,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-035,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-036,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-037,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-038,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-039,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-040,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-041,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-042,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-043,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-044,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-045,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-047,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-048,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-049,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-050,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-051,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-001,4,"['A', 'F', 'HO', 'N']"
BM-002,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-003,4,"['A', 'F', 'HO', 'N']"
BM-005,4,"['A', 'F', 'HO', 'N']"
BM-009,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-010,4,"['A', 'F', 'HO', 'N']"
BM-011,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-013,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-015,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-016,4,"['A', 'F', 'HO', 'N']"
BM-017,4,"['A', 'F', 'HC', 'N']"
BM-018,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-019,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-020,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-021,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-022,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-023,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-024,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-025,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-026,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-028,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-030,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-031,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-032,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-033,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-034,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-036,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-037,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-038,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-039,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-040,4,"['A', 'HC', 'HO', 'N']"
BM-041,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-043,4,"['A', 'HC', 'HO', 'N']"
BM-045,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-046,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-001,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-002,4,"['A', 'F', 'HC', 'N']"
WF-003,5,"['A', 'F', 'HC', 'HO', 'N']"
